# frame  time_ps  oxide_zmin_A  oxide_zmax_A  oxide_thickness_A  oxide_top_roughness_A  penetration_max_A  penetration_mean_pos_A  penetration_fraction_gt_2.00A  llzo_center_z_A  metal_center_z_A  center_sep_z_A  Li_metal-La  Li_metal-Zr  Li_metal-O  RMSD_framework_all_A  RMSD_Li_metal_A  RMSD_Li_oxide_A  RMSD_La_A  RMSD_Zr_A  RMSD_O_A  MSD_framework_all_A2  MSD_Li_metal_A2  MSD_Li_oxide_A2  MSD_La_A2  MSD_Zr_A2  MSD_O_A2  CN_Li_metal-O  CN_Li_metal-Li_oxide  CN_Li_oxide-O
430.00000000 21.50000000 73.02215691 155.82080151 82.79864460 3.75881269 0.98074752 0.98074752 0.00000000 53.80713407 132.07911301 78.27197894 3.09561393 2.91002982 1.81269492 0.27066868 1.06307368 0.60854690 0.31089086 0.23463699 0.26542068 0.07326153 1.13012565 0.37032933 0.09665312 0.05505452 0.07044814 0.01492537 0.12153518 1.78984238
440.00000000 22.00000000 73.01043020 155.83252822 82.82209801 3.74996202 0.97476274 0.97476274 0.00000000 53.81907497 132.08293059 78.26385562 3.09252653 2.95025155 1.79980333 0.31281281 1.04592104 0.61841961 0.35485274 0.27870820 0.30691525 0.09785186 1.09395082 0.38244281 0.12592047 0.07767826 0.09419697 0.01492537 0.12153518 1.79859895
450.00000000 22.50000000 73.00754570 155.83541272 82.82786701 3.77065585 1.19900076 1.19900076 0.00000000 53.81671734 132.12489676 78.30817942 2.89123090 2.84723933 1.83554345 0.29624672 1.12893353 0.62671094 0.35513452 0.25597909 0.28614446 0.08776212 1.27449092 0.39276660 0.12612052 0.06552530 0.08187865 0.01492537 0.11300640 1.78108581
460.00000000 23.00000000 73.02731440 155.81564402 82.78832961 3.73760948 0.94679009 0.94679009 0.00000000 53.83820937 132.05877122 78.22056185 2.84167397 3.00729515 1.86709661 0.29477914 1.11562317 0.62152744 0.34646650 0.25639254 0.28659193 0.08689474 1.24461505 0.38629636 0.12003903 0.06573714 0.08213494 0.01279318 0.12793177 1.78283713
470.00000000 23.50000000 72.97067230 155.87228612 82.90161382 3.77531566 0.74363809 0.74363809 0.00000000 53.85360777 132.13681929 78.28321152 3.14868488 2.87542905 1.93890281 0.29242497 1.02137366 0.62170340 0.34599043 0.26423671 0.28209631 0.08551236 1.04320416 0.38651511 0.11970938 0.06982104 0.07957833 0.01279318 0.12153518 1.78108581
480.00000000 24.00000000 73.10006817 155.74289025 82.64282207 3.74327437 0.65839233 0.65839233 0.00000000 53.83162813 132.07759386 78.24596573 3.06496380 2.78430010 1.85118666 0.25644835 1.04244637 0.60156192 0.30954352 0.21682039 0.24774720 0.06576575 1.08669444 0.36187674 0.09581719 0.04701108 0.06137867 0.01279318 0.11513859 1.80035026
490.00000000 24.50000000 73.04856321 155.79439521 82.74583200 3.73731148 1.01806489 1.01806489 0.00000000 53.84538748 132.09687430 78.25148682 2.97827829 2.89595260 1.84932275 0.25175208 1.04011080 0.60461981 0.30870005 0.20477898 0.24284577 0.06337911 1.08183047 0.36556512 0.09529572 0.04193443 0.05897407 0.01279318 0.12579957 1.78984238
500.00000000 25.00000000 73.02673881 155.81621961 82.78948081 3.74655919 0.81073012 0.81073012 0.00000000 53.83986960 132.11708617 78.27721657 3.10215943 2.97836232 1.95362156 0.26896882 1.02782019 0.59645694 0.31235691 0.23103915 0.26305785 0.07234423 1.05641434 0.35576088 0.09756684 0.05337909 0.06919943 0.01279318 0.11513859 1.78633975
510.00000000 25.50000000 73.02648586 155.81647256 82.78998670 3.72614973 0.85927831 0.85927831 0.00000000 53.82757969 132.09960912 78.27202943 3.14154425 2.91486310 1.86376086 0.27088655 1.12336750 0.62147956 0.32729533 0.23533190 0.26065989 0.07337952 1.26195454 0.38623685 0.10712223 0.05538110 0.06794358 0.01279318 0.12579957 1.79334501
520.00000000 26.00000000 73.03229550 155.81066292 82.77836742 3.73085245 0.90501295 0.90501295 0.00000000 53.83620503 132.10101347 78.26480844 3.02635090 3.01422573 1.89678033 0.24617415 1.04807543 0.61251810 0.30102518 0.21132435 0.23612579 0.06060171 1.09846210 0.37517842 0.09061616 0.04465798 0.05575539 0.01279318 0.11513859 1.79859895
